Source:,C:\Users\Drew Maatman\Documents\KiCad Projects\Projects\VFD_Clock\rev_b\hdw\Logic_Board\VFD_Clock\VFD_Clock.sch,,,,,,,,,,,,,,,,,,
Date:,10/18/2020 13:45,,,,,,,,,,,,,,,,,,
Tool:,Eeschema (5.1.4)-1,,,,,,,,,,,,,,,,,,
Generator:,C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,,,,,,,
Component Count:,400,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Ampacity,Baud_Rate,Config,Data_Length,Dielectric,Digi-Key PN,Flow_Control,Parity,Stop_Bits,Tolerance,Voltage,Wattage,display_footprint
,,D2401,Yellow,Device:LED,LEDs:LED_0603,~,,,,,,160-1448-1-ND,,,,,,,
,,DOC301,0x40,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
,,DOC302,0x18,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
,,DOC502,0x19,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
,,DOC503,0x42,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
,,DOC702,0x1A,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
,,DOC703,0x44,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
,,DOC902,0x1B,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
,,DOC903,0x46,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
,,DOC1101,0x1C,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
,,DOC1103,0x6A,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
,,DOC1801,0x1D,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
,,DOC1901,0x68,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
,,DOC2301,0x6B,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
,,DOC2401,COM_Port_Settings,Custom_Library:COM_Port_Settings,,,,115200 bps,,8 bit,,,None,None,1,,,,
,,DOC2601,0x48,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
,,DOC2602,0x1E,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
,,H3101,MountingHole,Mechanical:MountingHole,MountingHole:MountingHole_3mm,~,,,,,,,,,,,,,
,,H3102,MountingHole,Mechanical:MountingHole,MountingHole:MountingHole_3mm,~,,,,,,,,,,,,,
,,H3103,MountingHole,Mechanical:MountingHole,MountingHole:MountingHole_3mm,~,,,,,,,,,,,,,
,,H3104,MountingHole,Mechanical:MountingHole,MountingHole:MountingHole_3mm,~,,,,,,,,,,,,,
,,H3105,MountingHole,Mechanical:MountingHole,MountingHole:MountingHole_3mm,~,,,,,,,,,,,,,
,,H3106,MountingHole,Mechanical:MountingHole,MountingHole:MountingHole_3mm,~,,,,,,,,,,,,,
,,H3107,MountingHole,Mechanical:MountingHole,MountingHole:MountingHole_3mm,~,,,,,,,,,,,,,
,,H3108,MountingHole,Mechanical:MountingHole,MountingHole:MountingHole_3mm,~,,,,,,,,,,,,,
,,J201,+12V IN,Connector:Barrel_Jack_Switch,Connectors:BARREL_JACK,~,,,,,,,,,,,,,
,,J1501,PICKIT4,Connector_Generic:Conn_01x08,Custom Footprints Library:PICKIT4_Header,~,,,,,,,,,,,,,
